Filename,Comprehensibility,Emotion precision,Disturbing artifacts,Naturalness,General speech quality,,Category Mean
angry__female.wav,"3,923076923","1,538461538","3,923076923","2,615384615","3,615384615",,"3,123076923"
angry__male.wav,"4,615384615","3,538461538","4,076923077","3,615384615","4,384615385",,"4,046153846"
angry_strongIntensity__female.wav,"4,230769231","4,230769231","2,846153846","3,384615385","3,538461538",,"3,646153846"
angry_strongIntensity__male.wav,"4,384615385","4,076923077","3,153846154",4,"3,923076923",,"3,907692308"
basicTTS.wav,"2,384615385","1,153846154","1,461538462","0,1538461538","1,692307692",,"1,369230769"
calm__female.wav,"3,923076923","2,384615385","3,538461538","2,692307692","3,692307692",,"3,246153846"
calm__male.wav,2,"1,384615385","1,153846154","1,230769231","1,692307692",,"1,492307692"
calm_strongIntensity__female.wav,"4,307692308","3,307692308","4,076923077","3,692307692","4,230769231",,"3,923076923"
calm_strongIntensity__male.wav,"3,615384615","1,769230769","2,461538462","1,692307692","2,461538462",,"2,4"
disgust__female.wav,4,"3,307692308","3,769230769","3,615384615","4,153846154",,"3,769230769"
disgust__male.wav,"2,461538462","0,8461538462","1,076923077","1,230769231","2,076923077",,"1,538461538"
disgust_strongIntensity__female.wav,"4,076923077","1,615384615","4,076923077","3,384615385","3,923076923",,"3,415384615"
disgust_strongIntensity__male.wav,"3,615384615","2,615384615",3,"2,692307692","3,076923077",,3
fearful_female.wav,"4,461538462","3,769230769","4,461538462","4,230769231","4,461538462",,"4,276923077"
fearful_male.wav,"2,538461538","1,846153846","1,846153846","1,538461538",2,,"1,953846154"
fearful_strongIntensity__female.wav,"4,307692308",4,"3,692307692",4,4,,4
fearful_strongIntensity__male.wav,"3,769230769","2,307692308","3,538461538","2,230769231","3,076923077",,"2,984615385"
happy__female.wav,"4,307692308","1,461538462","4,153846154","2,923076923","4,076923077",,"3,384615385"
happy__male.wav,"1,692307692","0,9230769231","1,153846154","1,615384615","2,230769231",,"1,523076923"
happy_strongIntensity__female.wav,"4,076923077","1,461538462","3,769230769",3,"3,692307692",,"3,2"
happy_strongIntensity__male.wav,"4,307692308","1,307692308","3,615384615","2,230769231","3,076923077",,"2,907692308"
neutral__female.wav,"4,615384615","3,692307692","4,692307692","3,846153846","4,384615385",,"4,246153846"
neutral__male.wav,"2,153846154","1,923076923","0,6923076923","1,538461538","1,769230769",,"1,615384615"
sad__female.wav,"4,153846154","4,384615385","3,846153846","4,076923077","4,307692308",,"4,153846154"
sad__male.wav,"4,461538462","2,846153846","4,230769231","3,230769231","3,846153846",,"3,723076923"
sad_strongIntensity__female.wav,"4,615384615","3,307692308","4,615384615",4,"4,230769231",,"4,153846154"
sad_strongIntensity__male.wav,"4,230769231","4,153846154","3,538461538","3,230769231","3,384615385",,"3,707692308"
surprised__female.wav,"4,153846154","3,307692308","3,769230769","3,846153846","3,769230769",,"3,769230769"
surprised__male.wav,"4,230769231","2,692307692","3,538461538","2,769230769","3,461538462",,"3,338461538"
surprised_strongIntensity__female.wav,"2,538461538","3,230769231","1,384615385","1,846153846","1,846153846",,"2,169230769"
surprised_strongIntensity__male.wav,"4,153846154","3,307692308","3,384615385","3,230769231","3,769230769",,"3,569230769"
,,,,,,,
,,,,,,,
Sample Size,,,,,,,
13,,,,,,,
Max,,,,,,,
"4,692307692",,,,,,,
Min,,,,,,,
"0,1538461538",,,,,,,
