Filename,Comprehensibility,Emotion precision,Disturbing artifacts,Naturalness,General speech quality,,Category Mean
angry__female.wav,1,0,1,0,2,,"0,8"
angry__male.wav,4,1,0,1,4,,2
angry_strongIntensity__female.wav,2,3,1,2,1,,"1,8"
angry_strongIntensity__male.wav,3,2,0,2,2,,"1,8"
basicTTS.wav,1,0,0,0,0,,"0,2"
calm__female.wav,2,0,2,0,2,,"1,2"
calm__male.wav,1,0,0,0,1,,"0,4"
calm_strongIntensity__female.wav,2,0,2,0,3,,"1,4"
calm_strongIntensity__male.wav,1,0,0,0,1,,"0,4"
disgust__female.wav,2,0,0,0,2,,"0,8"
disgust__male.wav,1,0,0,0,1,,"0,4"
disgust_strongIntensity__female.wav,2,0,2,0,3,,"1,4"
disgust_strongIntensity__male.wav,1,0,0,0,1,,"0,4"
fearful_female.wav,3,0,3,1,3,,2
fearful_male.wav,1,0,0,0,1,,"0,4"
fearful_strongIntensity__female.wav,2,2,2,2,2,,2
fearful_strongIntensity__male.wav,1,0,1,0,1,,"0,6"
happy__female.wav,2,0,2,0,3,,"1,4"
happy__male.wav,0,0,0,0,1,,"0,2"
happy_strongIntensity__female.wav,1,0,1,0,1,,"0,6"
happy_strongIntensity__male.wav,2,0,1,0,1,,"0,8"
neutral__female.wav,4,1,4,0,3,,"2,4"
neutral__male.wav,0,0,0,0,0,,0
sad__female.wav,2,1,2,1,3,,"1,8"
sad__male.wav,3,0,2,0,3,,"1,6"
sad_strongIntensity__female.wav,3,1,3,2,1,,2
sad_strongIntensity__male.wav,2,0,1,0,0,,"0,6"
surprised__female.wav,2,1,1,1,1,,"1,2"
surprised__male.wav,2,0,2,0,2,,"1,2"
surprised_strongIntensity__female.wav,0,1,0,0,0,,"0,2"
surprised_strongIntensity__male.wav,2,0,1,0,2,,1
,,,,,,,
,,,,,,,
Sample Size,,,,,,,
13,,,,,,,
Max,,,,,,,
4,,,,,,,
Min,,,,,,,
0,,,,,,,
