Filename,Comprehensibility,Emotion precision,Disturbing artifacts,Naturalness,General speech quality,,Category Mean
angry__female.wav,"1,187542172","1,506396618","1,320450584","1,709700829","0,8697184926",,"1,318761739"
angry__male.wav,"0,5063696835","1,198289379","1,497861724","1,043907845","0,5063696835",,"0,9505596631"
angry_strongIntensity__female.wav,"0,926808696","0,5991446895","1,28102523","1,043907845","1,198289379",,"1,009835168"
angry_strongIntensity__male.wav,"0,7679476478","0,9540735874","1,573009528",1,"0,9540735874",,"1,04982087"
basicTTS.wav,"1,502135232","1,214231845","1,560736184","0,5547001962","1,315587029",,"1,229478097"
calm__female.wav,"1,037749043","1,386750491","1,050030525","1,031553471","0,9473309334",,"1,090682893"
calm__male.wav,1,"1,386750491","1,068188018","0,8320502943","0,9473309334",,"1,046863947"
calm_strongIntensity__female.wav,"1,031553471","1,493575988","1,320450584","1,702185624","0,8320502943",,"1,275963192"
calm_strongIntensity__male.wav,"1,120897077","1,23516842","1,330124344","1,109400392","0,967417922",,"1,152601631"
disgust__female.wav,"0,9128709292","1,493575988","1,423250163","1,556623565","0,8987170343",,"1,257007536"
disgust__male.wav,"0,967417922","0,9870962336","0,8623164985","0,8320502943","0,8623164985",,"0,9022394894"
disgust_strongIntensity__female.wav,"0,9540735874","1,32529629","0,8623164985","1,32529629","0,6405126152",,"1,021499056"
disgust_strongIntensity__male.wav,"1,120897077","1,660244035","1,354006401","1,652503928","1,11516355",,"1,380562998"
fearful_female.wav,"0,7762500258","1,786703023","0,6602252918","1,165750556","0,6602252918",,"1,009830838"
fearful_male.wav,"1,330124344","1,463224399","1,625123269","1,506396618","1,08012345",,"1,400998416"
fearful_strongIntensity__female.wav,"0,9473309334",1,"1,031553471",1,1,,"0,9957768809"
fearful_strongIntensity__male.wav,"1,165750556","1,652503928","1,126601424","1,786703023","1,320450584",,"1,410401903"
happy__female.wav,"0,9473309334","1,391365314","0,8987170343","1,60527975","0,8623164985",,"1,141001906"
happy__male.wav,"1,109400392","0,9540735874","1,214231845","1,386750491","0,8320502943",,"1,099301322"
happy_strongIntensity__female.wav,"1,11516355","1,450022104","1,423250163","1,632993162","1,315587029",,"1,387403202"
happy_strongIntensity__male.wav,"0,9473309334","1,315587029","1,260850344","1,300887271","1,187542172",,"1,20243955"
neutral__female.wav,"0,5063696835","1,377474463","0,4803844614","1,625123269","0,7679476478",,"0,9514599051"
neutral__male.wav,"1,068188018","1,382120259","0,8548504143","1,126601424","1,012739367",,"1,088899896"
sad__female.wav,"0,9870962336","1,120897077","1,14354375","1,187542172","0,7510676162",,"1,03802937"
sad__male.wav,"0,7762500258","1,405118847","1,012739367","1,535895296","0,800640769",,"1,106128861"
sad_strongIntensity__female.wav,"0,7679476478","1,250640861","0,7679476478","0,9128709292","1,165750556",,"0,9730315284"
sad_strongIntensity__male.wav,"1,165750556","1,519109051","1,560736184","1,58922655","1,660244035",,"1,499013275"
surprised__female.wav,"1,068188018","1,315587029","1,48064435","1,068188018","1,300887271",,"1,246698937"
surprised__male.wav,"1,012739367","1,601281538","0,967417922","1,300887271","1,050030525",,"1,186471325"
surprised_strongIntensity__female.wav,"1,265924209","1,300887271","1,660244035","1,573009528","1,519109051",,"1,463834819"
surprised_strongIntensity__male.wav,"0,9870962336","1,797434069","1,192927878","1,48064435","1,165750556",,"1,324770617"
,,,,,,,
,,,,,,,
Sample Size,,,,,,,
13,,,,,,,
Max,,,,,,,
"1,797434069",,,,,,,
Min,,,,,,,
"0,4803844614",,,,,,,
